 t = 9.0, elevator 1, current floor=1, end floor=15, empty
 t = 11.0, elevator 2, current floor=1, end floor=9, empty
 t = 28.0, elevator 2, current floor=9, end floor=4, occupied
 t = 39.0, elevator 1, current floor=15, end floor=11, occupied
 t = 40.0, elevator 2, current floor=4, end floor=13, empty
 t = 49.0, elevator 1, current floor=11, end floor=6, empty
 t = 59.0, elevator 2, current floor=13, end floor=9, occupied
 t = 60.0, elevator 1, current floor=6, end floor=8, occupied
 t = 66.0, elevator 1, current floor=8, end floor=11, empty
 t = 69.0, elevator 2, current floor=9, end floor=8, empty
 t = 72.0, elevator 2, current floor=8, end floor=10, occupied
 t = 73.0, elevator 1, current floor=11, end floor=18, occupied
 t = 78.0, elevator 2, current floor=10, end floor=14, empty
 t = 87.0, elevator 2, current floor=14, end floor=18, occupied
 t = 89.0, elevator 1, current floor=18, end floor=10, empty
 t = 97.0, elevator 2, current floor=18, end floor=18, empty
 t = 97.0, elevator 2, current floor=18, end floor=7, occupied
 t = 106.0, elevator 1, current floor=10, end floor=7, occupied
 t = 114.0, elevator 1, current floor=7, end floor=6, empty
 t = 117.0, elevator 1, current floor=6, end floor=13, occupied
 t = 122.0, elevator 2, current floor=7, end floor=13, empty
 t = 133.0, elevator 1, current floor=13, end floor=13, empty
 t = 133.0, elevator 1, current floor=13, end floor=16, occupied
 t = 135.0, elevator 2, current floor=13, end floor=3, occupied
 t = 141.0, elevator 1, current floor=16, end floor=13, empty
 t = 148.0, elevator 1, current floor=13, end floor=10, occupied
 t = 156.0, elevator 1, current floor=10, end floor=1, empty
 t = 157.0, elevator 2, current floor=3, end floor=1, empty
 t = 162.0, elevator 2, current floor=1, end floor=9, occupied
 t = 175.0, elevator 1, current floor=1, end floor=8, occupied
 t = 180.0, elevator 2, current floor=9, end floor=8, empty
 t = 183.0, elevator 2, current floor=8, end floor=15, occupied
 t = 191.0, elevator 1, current floor=8, end floor=16, empty
 t = 199.0, elevator 2, current floor=15, end floor=11, empty
 t = 208.0, elevator 1, current floor=16, end floor=7, occupied
 t = 208.0, elevator 2, current floor=11, end floor=1, occupied
 t = 228.0, elevator 1, current floor=7, end floor=13, empty
 t = 230.0, elevator 2, current floor=1, end floor=18, empty
 t = 241.0, elevator 1, current floor=13, end floor=2, occupied
 t = 266.0, elevator 2, current floor=18, end floor=2, occupied
