t          Clent Id                           Floor Number              Direction
9      8e66515a-a324-11eb-aae4-842afd1e2d74         15                        down
11      8e66515b-a324-11eb-8f67-842afd1e2d74         9                        Up
20      8e66515c-a324-11eb-8153-842afd1e2d74         13                        down
26      8e66515d-a324-11eb-8959-842afd1e2d74         6                        Up
31      8e66515e-a324-11eb-a8a0-842afd1e2d74         11                        down
33      8e66515f-a324-11eb-9ff2-842afd1e2d74         8                        Up
39      8e665160-a324-11eb-a164-842afd1e2d74         14                        Up
42      8e665161-a324-11eb-a6d4-842afd1e2d74         10                        down
52      8e665162-a324-11eb-98b8-842afd1e2d74         18                        down
59      8e665163-a324-11eb-9ddd-842afd1e2d74         6                        Up
61      8e665164-a324-11eb-8304-842afd1e2d74         13                        Up
70      8e665165-a324-11eb-b357-842afd1e2d74         13                        down
72      8e665166-a324-11eb-9c12-842afd1e2d74         13                        down
82      8e665167-a324-11eb-9093-842afd1e2d74         1                        Up
90      8e665168-a324-11eb-9bb2-842afd1e2d74         1                        Up
98      8e665169-a324-11eb-99ec-842afd1e2d74         8                        down
107      8e66516a-a324-11eb-967b-842afd1e2d74         16                        Up
117      8e66516b-a324-11eb-8d6a-842afd1e2d74         11                        down
125      8e66516c-a324-11eb-93c0-842afd1e2d74         13                        Up
132      8e66516d-a324-11eb-a3cd-842afd1e2d74         18                        down
